Year_published,Book_Count
2013,893
2014,806
2012,799
2015,793
2016,675
2011,662
2017,589
2018,526
2010,422
2019,411
2009,333
2008,294
2020,266
2007,263
2006,235
2004,192
2005,181
2003,179
2002,177
2000,153
2001,152
1999,139
1998,135
1996,115
1997,104
1995,103
1992,87
1994,83
1993,80
1990,74
1987,73
1989,68
1986,63
1988,63
1991,56
1985,49
1984,46
1983,37
1980,34
1982,34
1981,32
1979,32
1977,26
1973,24
1972,23
1976,21
1966,20
1968,19
1978,19
1969,19
1964,18
1967,17
1971,16
1965,16
1974,15
1975,15
1955,15
1962,15
1952,14
1963,13
1953,13
1951,12
1961,12
1970,12
1959,12
1954,11
1958,11
1950,9
1957,7
1960,7
1956,7
1948,6
1949,5
1937,5
1938,4
1925,3
1940,3
1943,3
1941,3
1930,2
1912,2
1939,2
1936,2
1945,2
1901,2
1932,2
1920,2
1947,2
1927,1
1909,1
1915,1
1933,1
1913,1
1934,1
1928,1
1908,1
1935,1
1926,1
